Scenario,Investor_Target_Return,Exit_Multiple,Volatility,IRR_Mean,MOIC_Mean,NPV_Mean,Prob_NPV_Negative,Decision
Upside,0.09000000000000001,12.5,0.13,0.1061339068913953,2.9049800888193436,16.186953533436622,0.0434,INVEST
Base,0.1,12.0,0.15,0.10239360656008704,2.796567486726565,4.568471537057504,0.3378,INVEST WITH CONDITIONS
High Rate,0.12000000000000001,11.0,0.18,0.09685776581038799,2.599180392893721,-14.039045088863311,0.9348,REJECT
Stress,0.13,10.5,0.2,0.09299615409474908,2.4958588082385513,-21.57226951797943,0.9868,REJECT
