,irr,moic,exit_multiple
count,5000.0,5000.0,5000.0
mean,0.17866758570502658,5.192940167173074,10.134422611827775
std,0.005453022787593291,0.4970711559048554,1.5081929876487212
min,0.1624225738019854,3.9057386292777823,5.888632089723122
5%,0.1703290577138127,4.4775473103594745,7.839412071367178
50%,0.17839919185737826,5.1467617867826885,10.01049023441106
95%,0.18810784905429104,6.080707522157985,12.75106089307452
max,0.20559811445728277,8.180013977602613,18.2919065941037
