floor_value,cap_multiple,sigma,discount_rate,irr_mean,irr_p10,irr_p50,irr_p90,moic_mean,moic_p10,moic_p50,moic_p90,net_cf_mean,net_cf_p10,net_cf_p50,net_cf_p90,npv_mean,npv_p10,npv_p50,npv_p90,prob_irr_negative,prob_moic_below_1x,prob_net_cf_negative,prob_no_payback,irr_var_5,irr_cvar_5,net_cf_var_5,net_cf_cvar_5,prob_npv_negative,npv_var_5,npv_cvar_5
0,,0.15,0.1,-0.036653522812588026,-0.04772573192947802,-0.03710700943354467,-0.024990740532779675,0.7945227511273354,0.7332084101921518,0.7912971789965555,0.8579728089671463,-10273862.443633236,-13339579.490392413,-10435141.050172219,-7101359.551642673,-27011937.191098724,-28911722.504615176,-27072451.831046823,-25026540.883238945,1.0,1.0,1.0,1.0,-0.051189648012304925,-0.05526006890477081,-14174034.177844195,-15168094.991880998,1.0,-29378001.70389693,-29993912.673422113
0,2.0,0.15,0.1,-0.036653522812588026,-0.04772573192947802,-0.03710700943354467,-0.024990740532779675,0.7945227511273354,0.7332084101921518,0.7912971789965555,0.8579728089671463,-10273862.443633236,-13339579.490392413,-10435141.050172219,-7101359.551642673,-27011937.191098724,-28911722.504615176,-27072451.831046823,-25026540.883238945,1.0,1.0,1.0,1.0,-0.051189648012304925,-0.05526006890477081,-14174034.177844195,-15168094.991880998,1.0,-29378001.70389693,-29993912.673422113
0,2.5,0.15,0.1,-0.036653522812588026,-0.04772573192947802,-0.03710700943354467,-0.024990740532779675,0.7945227511273354,0.7332084101921518,0.7912971789965555,0.8579728089671463,-10273862.443633236,-13339579.490392413,-10435141.050172219,-7101359.551642673,-27011937.191098724,-28911722.504615176,-27072451.831046823,-25026540.883238945,1.0,1.0,1.0,1.0,-0.051189648012304925,-0.05526006890477081,-14174034.177844195,-15168094.991880998,1.0,-29378001.70389693,-29993912.673422113
0,3.0,0.15,0.1,-0.036653522812588026,-0.04772573192947802,-0.03710700943354467,-0.024990740532779675,0.7945227511273354,0.7332084101921518,0.7912971789965555,0.8579728089671463,-10273862.443633236,-13339579.490392413,-10435141.050172219,-7101359.551642673,-27011937.191098724,-28911722.504615176,-27072451.831046823,-25026540.883238945,1.0,1.0,1.0,1.0,-0.051189648012304925,-0.05526006890477081,-14174034.177844195,-15168094.991880998,1.0,-29378001.70389693,-29993912.673422113
500000,,0.15,0.1,-0.03492799328186177,-0.04597730297982375,-0.03528348985648283,-0.023412588851079098,0.8011903463365286,0.7405693313854074,0.7978890153158097,0.866325717371426,-9940482.683173565,-12971533.430729635,-10105549.234209515,-6683714.131428716,-26928135.30048276,-28815286.19569192,-26988247.09219721,-24946354.888179358,1.0,1.0,1.0,1.0,-0.04946447665194409,-0.053185082164132085,-13869391.130834926,-14852061.31797451,1.0,-29282405.870099764,-29915233.94662281
500000,2.0,0.15,0.1,-0.03492799328186177,-0.04597730297982375,-0.03528348985648283,-0.023412588851079098,0.8011903463365286,0.7405693313854074,0.7978890153158097,0.866325717371426,-9940482.683173565,-12971533.430729635,-10105549.234209515,-6683714.131428716,-26928135.30048276,-28815286.19569192,-26988247.09219721,-24946354.888179358,1.0,1.0,1.0,1.0,-0.04946447665194409,-0.053185082164132085,-13869391.130834926,-14852061.31797451,1.0,-29282405.870099764,-29915233.94662281
500000,2.5,0.15,0.1,-0.03492799328186177,-0.04597730297982375,-0.03528348985648283,-0.023412588851079098,0.8011903463365286,0.7405693313854074,0.7978890153158097,0.866325717371426,-9940482.683173565,-12971533.430729635,-10105549.234209515,-6683714.131428716,-26928135.30048276,-28815286.19569192,-26988247.09219721,-24946354.888179358,1.0,1.0,1.0,1.0,-0.04946447665194409,-0.053185082164132085,-13869391.130834926,-14852061.31797451,1.0,-29282405.870099764,-29915233.94662281
500000,3.0,0.15,0.1,-0.03492799328186177,-0.04597730297982375,-0.03528348985648283,-0.023412588851079098,0.8011903463365286,0.7405693313854074,0.7978890153158097,0.866325717371426,-9940482.683173565,-12971533.430729635,-10105549.234209515,-6683714.131428716,-26928135.30048276,-28815286.19569192,-26988247.09219721,-24946354.888179358,1.0,1.0,1.0,1.0,-0.04946447665194409,-0.053185082164132085,-13869391.130834926,-14852061.31797451,1.0,-29282405.870099764,-29915233.94662281
1000000,,0.15,0.1,-0.026838527831237698,-0.03680214773237469,-0.027230221434421775,-0.016109644464513045,0.8367142430681193,0.7777746714076801,0.833862422454088,0.9014772701561963,-8164287.846594044,-11111266.429615995,-8306878.877295602,-4926136.492190192,-26441116.021540888,-28298396.917253453,-26500182.151601925,-24472055.57401352,0.998,0.998,0.998,0.998,-0.04001935840252514,-0.04352388770358523,-12051058.69023389,-13077841.068720276,1.0,-28773611.622044045,-29428437.76918684
1000000,2.0,0.15,0.1,-0.026838527831237698,-0.03680214773237469,-0.027230221434421775,-0.016109644464513045,0.8367142430681193,0.7777746714076801,0.833862422454088,0.9014772701561963,-8164287.846594044,-11111266.429615995,-8306878.877295602,-4926136.492190192,-26441116.021540888,-28298396.917253453,-26500182.151601925,-24472055.57401352,0.998,0.998,0.998,0.998,-0.04001935840252514,-0.04352388770358523,-12051058.69023389,-13077841.068720276,1.0,-28773611.622044045,-29428437.76918684
1000000,2.5,0.15,0.1,-0.026838527831237698,-0.03680214773237469,-0.027230221434421775,-0.016109644464513045,0.8367142430681193,0.7777746714076801,0.833862422454088,0.9014772701561963,-8164287.846594044,-11111266.429615995,-8306878.877295602,-4926136.492190192,-26441116.021540888,-28298396.917253453,-26500182.151601925,-24472055.57401352,0.998,0.998,0.998,0.998,-0.04001935840252514,-0.04352388770358523,-12051058.69023389,-13077841.068720276,1.0,-28773611.622044045,-29428437.76918684
1000000,3.0,0.15,0.1,-0.026838527831237698,-0.03680214773237469,-0.027230221434421775,-0.016109644464513045,0.8367142430681193,0.7777746714076801,0.833862422454088,0.9014772701561963,-8164287.846594044,-11111266.429615995,-8306878.877295602,-4926136.492190192,-26441116.021540888,-28298396.917253453,-26500182.151601925,-24472055.57401352,0.998,0.998,0.998,0.998,-0.04001935840252514,-0.04352388770358523,-12051058.69023389,-13077841.068720276,1.0,-28773611.622044045,-29428437.76918684
2000000,,0.15,0.1,-0.0070715876395329716,-0.01568676171418949,-0.007598595149697851,0.0021064150840568903,0.9503134852345693,0.8896271577902772,0.9466676808774634,1.0148229700340339,-2484325.7382715424,-5518642.110486138,-2666615.9561268315,741148.501701695,-24660053.953528408,-26490742.88790182,-24728845.649979778,-22715726.95964968,0.85,0.85,0.85,0.85,-0.01788020670245616,-0.020759678848157426,-6239049.308611828,-7285957.460826421,1.0,-27006165.898936562,-27590432.857085112
2000000,2.0,0.15,0.1,-0.0070715876395329716,-0.01568676171418949,-0.007598595149697851,0.0021064150840568903,0.9503134852345693,0.8896271577902772,0.9466676808774634,1.0148229700340339,-2484325.7382715424,-5518642.110486138,-2666615.9561268315,741148.501701695,-24660053.953528408,-26490742.88790182,-24728845.649979778,-22715726.95964968,0.85,0.85,0.85,0.85,-0.01788020670245616,-0.020759678848157426,-6239049.308611828,-7285957.460826421,1.0,-27006165.898936562,-27590432.857085112
2000000,2.5,0.15,0.1,-0.0070715876395329716,-0.01568676171418949,-0.007598595149697851,0.0021064150840568903,0.9503134852345693,0.8896271577902772,0.9466676808774634,1.0148229700340339,-2484325.7382715424,-5518642.110486138,-2666615.9561268315,741148.501701695,-24660053.953528408,-26490742.88790182,-24728845.649979778,-22715726.95964968,0.85,0.85,0.85,0.85,-0.01788020670245616,-0.020759678848157426,-6239049.308611828,-7285957.460826421,1.0,-27006165.898936562,-27590432.857085112
2000000,3.0,0.15,0.1,-0.0070715876395329716,-0.01568676171418949,-0.007598595149697851,0.0021064150840568903,0.9503134852345693,0.8896271577902772,0.9466676808774634,1.0148229700340339,-2484325.7382715424,-5518642.110486138,-2666615.9561268315,741148.501701695,-24660053.953528408,-26490742.88790182,-24728845.649979778,-22715726.95964968,0.85,0.85,0.85,0.85,-0.01788020670245616,-0.020759678848157426,-6239049.308611828,-7285957.460826421,1.0,-27006165.898936562,-27590432.857085112
