case,irr_mean,irr_p10,irr_p50,irr_p90,moic_mean,moic_p10,moic_p50,moic_p90,net_cf_mean,net_cf_p10,net_cf_p50,net_cf_p90,npv_mean,npv_p10,npv_p50,npv_p90,prob_irr_negative,prob_moic_below_1x,prob_net_cf_negative,prob_no_payback,irr_var_5,irr_cvar_5,net_cf_var_5,net_cf_cvar_5,prob_npv_negative,npv_var_5,npv_cvar_5,terminal_value_mean,terminal_value_p10,terminal_value_p50,terminal_value_p90
generic_royalty,-0.0265657437303419,-0.03680925522070466,-0.026646450590481985,-0.015769751922117988,0.8382928935885506,0.7776895486405934,0.8369797257964986,0.9021749718553397,-8085355.320572462,-11115522.567970334,-8151013.710175063,-4891251.407233028,-26398970.559028096,-28304360.662417255,-26431958.060136408,-24466063.03578025,0.998,0.998,0.998,0.998,-0.0401136621560571,-0.04360865611005605,-12086083.47537844,-13092267.453195563,1.0,-28852269.256176602,-29424737.80954622,,,,
pg3_empirical,0.1046860201740138,0.09488807560335821,0.10543522701126198,0.11409579902148605,2.801459055751005,2.4239832506972068,2.8119200876052473,3.187378363973353,179.06503014164988,141.54393511930238,180.10485670796157,217.42540937895126,4.290483911966031,-3.8751995716475007,4.5167804689640825,12.63882009396229,0.0,0.0,0.0,1.0,0.09114995911755745,0.08696625865692191,129.5048963567059,117.36915389286568,0.253,-6.495245173295472,-9.136336317872827,99.21253492619674,61.69143990384923,100.25236149250844,137.57291416349813
