initial_investment,royalty_rate,sigma,discount_rate,irr_mean,irr_p10,irr_p50,irr_p90,moic_mean,moic_p10,moic_p50,moic_p90,net_cf_mean,net_cf_p10,net_cf_p50,net_cf_p90,npv_mean,npv_p10,npv_p50,npv_p90,prob_irr_negative,prob_moic_below_1x,prob_net_cf_negative,prob_no_payback,irr_var_5,irr_cvar_5,net_cf_var_5,net_cf_cvar_5,prob_npv_negative,npv_var_5,npv_cvar_5
40000000,0.04,0.1,0.1,0.0013067192155888307,-0.0065778846885561895,0.0008317181028351106,0.010228530211210597,1.0087925875355994,0.9579061711909664,1.0053193826874187,1.0664606736563274,351703.50142398226,-1683753.1523613464,212775.3074967526,2658426.9462531013,-17243484.83648832,-18494808.655909702,-17302348.507865235,-15878975.288447421,0.424,0.424,0.424,0.424,-0.009731523805463405,-0.012655012398231434,-2495777.515192804,-3212011.5751324934,1.0,-18932105.52239407,-19409371.59037929
40000000,0.04,0.15,0.1,0.0016491148495615335,-0.010774134457672124,0.0012448967114894204,0.014459078606619836,1.0112913775992356,0.930837894647152,1.0078889068254075,1.0944211845627128,451655.1039694208,-2766484.214113918,315556.27301630564,3776847.3825085056,-17191218.872582775,-19203611.070263766,-17299591.61165724,-15174258.63609153,0.438,0.438,0.438,0.438,-0.014449179475780442,-0.018300605969481937,-3682500.654374362,-4635518.829637644,1.0,-19718210.819496896,-20319603.205260064
40000000,0.04,0.2,0.1,0.0019490366904026458,-0.014248156376555791,0.001343215303820422,0.01912091383551642,1.0136714532209432,0.9078612386902462,1.008824407990602,1.1259289168836413,546858.1288377286,-3685550.4523901558,352976.31962407194,5037156.675345653,-17146847.305235557,-19791149.69124783,-17261890.52112834,-14512459.698409311,0.454,0.454,0.454,0.454,-0.019736833896946443,-0.02401483416090871,-5043393.634255166,-6052746.244935122,1.0,-20560415.48753945,-21182161.29856019
40000000,0.05,0.1,0.1,0.006651656259340465,-0.0004686799607239388,0.006191470590285464,0.015021390814905012,1.043670838190871,0.9969877798708751,1.0405997769185422,1.0989143210295986,1746833.5276348386,-120488.80516499575,1623991.0767416842,3956572.8411839483,-16488175.380333059,-17679204.0508958,-16546618.33967628,-15199185.532165218,0.12,0.12,0.12,0.12,-0.0033087917997910604,-0.006386219659753869,-860411.8882639887,-1641394.3559969587,1.0,-18069928.80942061,-18535290.921103455
40000000,0.05,0.15,0.1,0.006942503737415912,-0.00427156982281764,0.006390586677131882,0.019155883903460732,1.045892803835149,0.9722183392596002,1.04232802806761,1.1268465876952454,1835712.1534059572,-1111266.4296159954,1693121.122704398,5073863.507809808,-16441116.021540886,-18298396.917253453,-16500182.151601924,-14472055.574013518,0.212,0.212,0.212,0.212,-0.007968161604233854,-0.01200269548177795,-2051058.6902338935,-3077841.068720275,1.0,-18773611.622044045,-19428437.769186836
40000000,0.05,0.2,0.1,0.007261163624912083,-0.007672095862358616,0.006670598653036208,0.0239865937305352,1.048441987601971,0.9504994336093294,1.0441728516875937,1.1573438386926806,1937679.504078847,-1980022.655626816,1766914.0675037429,6293753.547707222,-16389417.017232498,-18900743.59681126,-16515164.394231617,-13783555.288312625,0.284,0.284,0.284,0.284,-0.013359154524744525,-0.017108108370827883,-3438818.6679840633,-4370198.594600004,1.0,-19664209.537193406,-20220847.241119016
40000000,0.06,0.1,0.1,0.012324169571632083,0.005388290348607261,0.01206127362742171,0.020009430701161703,1.0819257854529483,1.0354174754798486,1.0798307808868324,1.1340159531458474,3277031.4181179265,1416699.0191939503,3193231.235473288,5360638.125833909,-15685688.443449998,-16831843.74104326,-15732054.376906727,-14456432.888914876,0.022,0.022,0.022,0.022,0.0030531004211344693,1.628732990814742e-05,789570.7277559631,6699.9286597085,1.0,-17240470.14607439,-17644540.73102002
40000000,0.06,0.15,0.1,0.012526439328711725,0.0019412152032317167,0.012194696984548892,0.024093848991323722,1.0835824224998722,1.0128190162961543,1.0808111136171146,1.1621432759689778,3343296.89999489,512760.65184617124,3232444.544684576,6485731.038759112,-15647981.695451468,-17384118.478698887,-15717918.8710965,-13751734.138357386,0.07,0.07,0.07,0.07,-0.0017521592311399656,-0.00543984743706173,-463838.96611653076,-1415548.8529134768,1.0,-17968822.304381054,-18526843.16956325
40000000,0.06,0.2,0.1,0.012855635094896867,-0.0016366534595254458,0.012417796552612992,0.02815660250740477,1.0862240641748895,0.9893315855520777,1.0821849867521078,1.1896122841202186,3448962.566995587,-426736.57791689545,3287399.4700843114,7584491.364808738,-15589614.661246907,-17920363.37098027,-15692022.800557725,-13063122.721015703,0.13,0.13,0.13,0.13,-0.006381314314451519,-0.009983930311736387,-1712749.0137077407,-2586224.0749434633,1.0,-18682798.43863468,-19234092.96181692
40000000,0.07,0.1,0.1,0.01812332145546537,0.011148869943334638,0.017708740735914774,0.025485179133760708,1.1225111101495158,1.074922251293965,1.1199700974516695,1.172886472971802,4900444.405980635,2996890.0517586004,4798803.89806678,6915458.9188720845,-14852349.93840533,-16022056.501578134,-14898529.03979227,-13638853.708394295,0.0,0.0,0.0,0.0,0.009230996106679757,0.006326806750170722,2469111.919500356,1689647.5016160237,1.0,-16352557.298691824,-16778603.834279876
