case,scenario,royalty_rate,initial_investment,sigma,exit_multiple_mean,exit_multiple_sigma,irr_mean,irr_p10,irr_p50,irr_p90,moic_mean,moic_p10,moic_p50,moic_p90,net_cf_mean,net_cf_p10,net_cf_p50,net_cf_p90,npv_mean,npv_p10,npv_p50,npv_p90,prob_irr_negative,prob_moic_below_1x,prob_net_cf_negative,prob_no_payback,irr_var_5,irr_cvar_5,net_cf_var_5,net_cf_cvar_5,prob_npv_negative,npv_var_5,npv_cvar_5
generic_royalty,base,0.05,50000000,0.15,12.0,1.5,-0.0265657437303419,-0.03680925522070466,-0.026646450590481985,-0.015769751922117988,0.8382928935885506,0.7776895486405934,0.8369797257964986,0.9021749718553397,-8085355.320572462,-11115522.567970334,-8151013.710175063,-4891251.407233028,-26398970.559028096,-28304360.662417255,-26431958.060136408,-24466063.03578025,0.998,0.998,0.998,0.998,-0.0401136621560571,-0.04360865611005605,-12086083.47537844,-13092267.453195563,1.0,-28852269.256176602,-29424737.80954622
generic_royalty,upside,0.07,45000000,0.1,13.5,1.0,-0.000209098272620081,-0.006797068172998091,-0.0004720905941695275,0.006655616391210639,0.9988419403169969,0.9564430044678032,0.9969408607343719,1.0436690815296186,-52112.6857351401,-1960064.7989488638,-137661.26695325598,1965108.6688328416,-19828912.85132107,-21020788.66839764,-19856475.195236888,-18604406.638503328,0.533,0.533,0.533,0.533,-0.008684110490853042,-0.011263978788927254,-2518212.6882651616,-3257509.14740389,1.0,-21347142.910264555,-21744138.686836824
generic_royalty,downside,0.04,55000000,0.2,10.0,2.0,-0.044509871716420665,-0.05813238865502574,-0.044509401355628864,-0.02982899917077555,0.7394480549508236,0.6608955722897225,0.7383264904271662,0.8205493677936906,-14330356.9777047,-18650743.524065256,-14392043.026505861,-9869784.77134702,-32077345.75241773,-34728730.88833602,-32107239.8121186,-29448317.3444062,1.0,1.0,1.0,1.0,-0.06239283392467568,-0.0667896557635928,-19891412.819231085,-21080682.920080002,1.0,-35508146.70247684,-36178425.209304005
generic_royalty,stress,0.035,60000000,0.25,8.0,2.5,-0.05811520545491748,-0.07506948517841908,-0.05842914035647594,-0.04021471513025401,0.6694064553199992,0.5781714554295767,0.6672676196179138,0.764525950586061,-19835612.68080005,-25309712.674225405,-19963942.822925173,-14128442.964836342,-37364941.36920544,-40863146.79945116,-37439305.354853496,-33848483.07824576,1.0,1.0,1.0,1.0,-0.07952012738919818,-0.08505291023372628,-26692267.736283083,-28309402.573664524,1.0,-41623718.99745725,-42483296.63227842
