case,scenario,royalty_rate,initial_investment,sigma,exit_multiple_mean,exit_multiple_sigma,irr_mean,irr_p10,irr_p50,irr_p90,moic_mean,moic_p10,moic_p50,moic_p90,net_cf_mean,net_cf_p10,net_cf_p50,net_cf_p90,npv_mean,npv_p10,npv_p50,npv_p90,prob_irr_negative,prob_moic_below_1x,prob_net_cf_negative,prob_no_payback,irr_var_5,irr_cvar_5,net_cf_var_5,net_cf_cvar_5,prob_npv_negative,npv_var_5,npv_cvar_5,terminal_value_mean,terminal_value_p10,terminal_value_p50,terminal_value_p90
generic_royalty,base,0.05,50000000,0.15,12.0,1.5,-0.0265657437303419,-0.03680925522070466,-0.026646450590481985,-0.015769751922117988,0.8382928935885506,0.7776895486405934,0.8369797257964986,0.9021749718553397,-8085355.320572462,-11115522.567970334,-8151013.710175063,-4891251.407233028,-26398970.559028096,-28304360.662417255,-26431958.060136408,-24466063.03578025,0.998,0.998,0.998,0.998,-0.0401136621560571,-0.04360865611005605,-12086083.47537844,-13092267.453195563,1.0,-28852269.256176602,-29424737.80954622,,,,
generic_royalty,upside,0.07,45000000,0.1,13.5,1.0,-0.000209098272620081,-0.006797068172998091,-0.0004720905941695275,0.006655616391210639,0.9988419403169969,0.9564430044678032,0.9969408607343719,1.0436690815296186,-52112.6857351401,-1960064.7989488638,-137661.26695325598,1965108.6688328416,-19828912.85132107,-21020788.66839764,-19856475.195236888,-18604406.638503328,0.533,0.533,0.533,0.533,-0.008684110490853042,-0.011263978788927254,-2518212.6882651616,-3257509.14740389,1.0,-21347142.910264555,-21744138.686836824,,,,
generic_royalty,downside,0.04,55000000,0.2,10.0,2.0,-0.044509871716420665,-0.05813238865502574,-0.044509401355628864,-0.02982899917077555,0.7394480549508236,0.6608955722897225,0.7383264904271662,0.8205493677936906,-14330356.9777047,-18650743.524065256,-14392043.026505861,-9869784.77134702,-32077345.75241773,-34728730.88833602,-32107239.8121186,-29448317.3444062,1.0,1.0,1.0,1.0,-0.06239283392467568,-0.0667896557635928,-19891412.819231085,-21080682.920080002,1.0,-35508146.70247684,-36178425.209304005,,,,
generic_royalty,stress,0.035,60000000,0.25,8.0,2.5,-0.05811520545491748,-0.07506948517841908,-0.05842914035647594,-0.04021471513025401,0.6694064553199992,0.5781714554295767,0.6672676196179138,0.764525950586061,-19835612.68080005,-25309712.674225405,-19963942.822925173,-14128442.964836342,-37364941.36920544,-40863146.79945116,-37439305.354853496,-33848483.07824576,1.0,1.0,1.0,1.0,-0.07952012738919818,-0.08505291023372628,-26692267.736283083,-28309402.573664524,1.0,-41623718.99745725,-42483296.63227842,,,,
pg3_empirical,base,0.05,50000000,0.15,12.0,1.5,0.1046860201740138,0.09488807560335821,0.10543522701126198,0.11409579902148605,2.801459055751005,2.4239832506972068,2.8119200876052473,3.187378363973353,179.06503014164988,141.54393511930238,180.10485670796157,217.42540937895126,4.290483911966031,-3.8751995716475007,4.5167804689640825,12.63882009396229,0.0,0.0,0.0,1.0,0.09114995911755745,0.08696625865692191,129.5048963567059,117.36915389286568,0.253,-6.495245173295472,-9.136336317872827,99.21253492619674,61.69143990384923,100.25236149250844,137.57291416349813
pg3_empirical,upside,0.07,45000000,0.1,13.5,1.0,0.11214086939288322,0.10646109113689178,0.11245989523607029,0.11774145417394254,3.1051572668878853,2.8535674370670825,3.1121919950057766,3.3624975125845133,209.2526323286558,184.244603244468,209.9518843035742,234.8322527509006,10.86018568750092,5.417709930094234,11.012363290501964,16.427056373834102,0.0,0.0,0.0,1.0,0.10445548578957635,0.10229100244498426,176.21857740273703,168.0073971459652,0.006,3.671012862328926,1.8840207992305391,129.40013711320262,104.39210802901485,130.09938908812103,154.97975753544748
pg3_empirical,downside,0.04,55000000,0.2,10.0,2.0,0.09332444878197295,0.07624820784022325,0.0945096113523439,0.10786983973033425,2.4096842855949845,1.8941018875071236,2.4113510033845102,2.9119620385419847,140.12261798814146,88.87372761820805,140.28828973642032,190.04902663107325,-4.184519590585784,-15.337771311998454,-4.148464591183009,6.680921575481263,0.0,0.0,0.0,1.0,0.0722897694499515,0.07228976944995148,79.85249521545315,79.85249521545315,0.722,-17.301054323572092,-17.301054323572092,60.27012277268832,9.021232402754915,60.4357945209672,110.19653141562011
pg3_empirical,stress,0.035,60000000,0.25,8.0,2.5,0.0833799628905393,0.0722897694499515,0.08093642800042863,0.10090507533590805,2.1108830261895934,1.8033450222882612,2.0107819191637732,2.6365457131106163,110.42177280324555,79.85249521545315,100.47172276487908,162.67264388319524,-10.648288860411679,-17.301054323572092,-12.813709651330104,0.7230230570002386,0.0,0.0,0.0,1.0,0.0722897694499515,0.07228976944995147,79.85249521545315,79.85249521545315,0.889,-17.301054323572092,-17.301054323572092,30.569277587792392,0.0,20.61922754942593,82.82014866774209
