irr,moic
0.17384091184157113,4.757578738784024
0.17613537051614148,4.949750737214395
0.1795273297302999,5.2477569287970125
0.18158699731146466,5.4371024094556875
0.17664271078566934,4.993254803377414
0.17103814633556452,4.532746547284315
0.17960616488193248,5.254885729975434
0.17224586375369016,4.628314245105664
0.179773685088488,5.270065092576021
0.17226400007220377,4.629764430666943
0.1792439395448674,5.222207981372633
0.17732992599873953,5.052776745036155
0.17210345577188468,4.616942805164118
0.17274447501113976,4.668346729800427
0.17550029121665614,4.895813517863627
0.18270440252016285,5.542558184665278
0.18004745820313628,5.294963416845327
0.17858269766665852,5.16306083958007
0.17654203284487435,4.984592236838763
0.17229555119652756,4.632288335061923
0.17211411468950538,4.617792977714437
0.18311473119897154,5.581773588850542
0.17402412704837822,4.7726518231106185
0.17194843695484335,4.604595680688901
0.17461091000562376,4.821241944562899
0.17938376443425508,5.23479878802976
0.18094513074996948,5.377400630583581
0.1765264981931064,4.98325690222326
0.1682658720560701,4.320704288459147
0.19446734911955477,6.777516377383224
0.18364616834449915,5.632958593456974
0.17670593629823556,4.998702362507868
0.1790167130909187,5.201809354006221
0.17733148597340354,5.05291264084861
0.1736955424518855,4.745652447343317
0.17100267934796703,4.529969676596794
0.17966925473862855,5.260597473435439
0.18079315827680847,5.363357902629008
0.1750401294945027,4.857090876835857
0.18123087965211657,5.403900618924717
0.18006381193267362,5.296454295946447
0.1797997662574325,5.272432168488398
0.1871202293871781,5.9787691506363085
0.17798782636251465,5.110405097296364
0.17304410946037924,4.692567467914507
0.17916383593097102,5.2150080887639785
0.17669572174042397,4.997821876767577
0.17536335745677306,4.884259129102635
0.18339865519280074,5.609063872060693
0.17850862737189144,5.156475880921469
0.18001909922860193,5.292379045749876
0.18752157954289927,6.019997758488179
0.18314269660453514,5.5844559185722265
0.17875534507515906,5.1784410710925926
0.17814464190780605,5.124235076674892
0.1843329476445586,5.69977074171539
0.1805025728522543,5.336605187610073
0.18059776524213772,5.345354872334128
0.18525627443592213,5.790788960598542
0.18056505093195857,5.342346352357783
0.17295072718738105,4.685005753651263
0.18699915553582552,5.966384617830868
0.1762997872943039,4.963808771321436
0.18176042946874282,5.4533428809852955
0.18211734261497597,5.4869115956622
0.186953193715716,5.961689612151256
0.1725994321134415,4.656666503843653
0.17059656526453437,4.4982929000962475
0.18120300913187998,5.401310421460755
0.17320738521951395,4.705817705250931
0.1858017742705791,5.845212123430203
0.18380907429249493,5.648738525887802
0.18907333121075826,6.181952378666396
0.1818576266633038,5.462464959398178
0.1728701587613436,4.678491280728412
0.1713575133187421,4.557827154969089
0.1725604089740045,4.653528904589715
0.16941471562849136,4.407352650266378
