Scenario,Valuation_Discount_Rate,Hurdle_Rate,Exit_Multiple,Volatility,IRR_Mean,MOIC_Mean,NPV_Mean,Prob_NPV_Negative,Decision
Upside,0.09000000000000001,0.1,12.5,0.13,0.10750582237855087,2.918466663199328,16.35594102185897,0.039,INVEST
Base,0.1,0.1,12.0,0.15,0.1049016633588424,2.819305118801156,4.737749895563965,0.3363333333333333,INVEST WITH CONDITIONS
High Rate,0.12000000000000001,0.1,11.0,0.18,0.09938466411690293,2.6206073541318977,-13.799165151455421,0.9283333333333333,INVEST WITH CONDITIONS
Stress,0.13,0.1,10.5,0.2,0.0964193161822885,2.523249124737675,-21.16818676497679,0.9863333333333333,INVEST WITH CONDITIONS
