Scenario,Discount_Rate,Exit_Multiple,Volatility,IRR_Mean,MOIC_Mean,NPV_Mean,Prob_NPV_Negative,Decision
Upside,0.09000000000000001,12.5,0.13,0.1074139068913953,2.9161293169232994,16.274900187716412,0.0434,INVEST
Base,0.1,12.0,0.15,0.10479360656008707,2.816686994250494,4.654786515549933,0.3374,INVEST WITH CONDITIONS
High Rate,0.12000000000000001,11.0,0.18,0.09925776581038799,2.6178430986495207,-13.875996967935766,0.9344,REJECT
Stress,0.13,10.5,0.2,0.09628415409474908,2.520480407642108,-21.24246041589429,0.9868,REJECT
