Driver,Scenario_Value,IRR_Mean,MOIC_Mean,NPV_Mean,Prob_NPV_Negative,NPV_CVaR_5
Discount Rate,0.09000000000000001,0.10479360656008707,2.816686994250494,13.790439723054597,0.105,-7.302415593115522
Discount Rate,0.1,0.10479360656008707,2.816686994250494,4.654786515549933,0.3374,-14.05248914612942
Discount Rate,0.11,0.10479360656008707,2.816686994250494,-3.450479808568189,0.6644,-20.135111784269107
exit_multiple,11.0,0.0995414590303141,2.6155372281204894,0.30344716868394134,0.5108,-17.372487097126065
exit_multiple,12.0,0.10479360656008707,2.816686994250494,4.654786515549933,0.3374,-14.05248914612942
exit_multiple,13.0,0.10961228319737693,3.017924867977827,9.008031835574066,0.1954,-10.722613615201606
volatility,0.09999999999999999,0.10515375748066949,2.813942881912148,4.582515187161445,0.2458,-8.250517157913125
volatility,0.15,0.10479360656008707,2.816686994250494,4.654786515549933,0.3374,-14.05248914612942
volatility,0.2,0.1042806838015679,2.820191992870524,4.744949910075316,0.388,-19.402455685247595
ltv_target,0.45,0.10444108857447557,2.909942171762842,4.8088976907269245,0.3374,-14.517740475967488
ltv_target,0.5,0.10544108857447554,2.645401974329856,4.371725173388113,0.3374,-13.19794588724317
ltv_target,0.55,0.10644108857447554,2.3808617768968703,3.934552656049301,0.3374,-11.878151298518853
