Driver,Scenario_Value,IRR_Mean,MOIC_Mean,NPV_Mean,Prob_NPV_Negative,NPV_CVaR_5
Discount Rate,0.09000000000000001,0.1049016633588424,2.819305118801156,13.88147753213041,0.101,-6.735817348096441
Discount Rate,0.1,0.1049016633588424,2.819305118801156,4.737749895563965,0.3363333333333333,-13.544970327541044
Discount Rate,0.11,0.1049016633588424,2.819305118801156,-3.3745014655782875,0.6676666666666666,-19.69236852628835
exit_multiple,11.0,0.09965179824225091,2.6179609038563534,0.3822041665825058,0.513,-16.90497000517237
exit_multiple,12.0,0.1049016633588424,2.819305118801156,4.737749895563965,0.3363333333333333,-13.544970327541044
exit_multiple,13.0,0.1097188542887888,3.0207368273109774,9.095188314750283,0.19633333333333333,-10.191130682019843
volatility,0.09999999999999999,0.10522327018700058,2.8156412423492583,4.637655838802783,0.247,-7.89875636710098
volatility,0.15,0.1049016633588424,2.819305118801156,4.737749895563965,0.3363333333333333,-13.544970327541044
volatility,0.2,0.10442355696277411,2.823590119052943,4.851846478105255,0.38666666666666666,-18.869572845255718
ltv_target,0.45,0.1049016633588424,2.819305118801156,4.737749895563965,0.3363333333333333,-13.544970327541044
ltv_target,0.5,0.1049016633588424,2.819305118801156,4.737749895563965,0.3363333333333333,-13.544970327541044
ltv_target,0.55,0.1049016633588424,2.819305118801156,4.737749895563965,0.3363333333333333,-13.544970327541044
