Contract,NPV,Total_Payout,Delta_vs_Simple_NPV,Delta_vs_Simple_Total
Simple Flat Royalty,38.21725999780959,66.1,0.0,0.0
Structured Royalty,31.583799690711192,65.0,-6.6334603070983995,-1.0999999999999943
