Contract,NPV_Mean,NPV_P10,NPV_CVaR_5,Prob_NPV_Negative,Mean_Total_Payout
Simple Flat Royalty,38.316952859445394,33.65407948783862,31.24544747357515,0.0,66.26950954548363
Structured Royalty,32.62611146922842,30.506789673458353,27.671763411386625,0.0,64.6160729588678
