,IRR Mean,NPV Mean,NPV ES 5%
Lev 0.3,0.08314820847426077,384.69965446560997,272.7431049577198
Lev 0.5,0.12312424595198514,356.7597997102579,257.00295383820844
Lev 0.7,0.1949828806891816,329.35922362488094,241.7002508439939
Lev 0.8,0.27638933942907706,315.47332932012137,227.6966315201213
